qid,generation_from_seed,depth_from_roots
Q1336680,3,3
Q20751076,2,2
Q20751111,2,2
Q2589319,2,2
Q63043,2,2
Q68697,3,3
Q72524,1,1
Q75882,1,1
Q75900,0,0
